feature,g_ds003474,p_ds003474,g_ds003478,p_ds003478,g_MODMA,p_MODMA,g_TDBRAIN,p_TDBRAIN,n_consistent,direction,n_sig_p05,g_pooled,p_pooled
dds_LH_A1,-0.064,0.996,-0.286,0.997,-0.093,0.908,-0.208,0.08,4,CTL>,0,-0.179,0.0848
dds_LH_r2,-0.116,0.574,-0.032,0.836,-0.075,0.809,-0.194,0.548,4,CTL>,0,-0.126,0.2237
ais_frontal,-0.706,0.002,0.138,0.676,-0.334,0.288,-0.353,0.024,3,CTL>,2,-0.312,0.0608
pid_redundancy,-0.481,0.045,-0.38,0.117,-0.805,0.003,0.104,0.486,3,CTL>,2,-0.35,0.0828
dds_RH_phi1,-0.226,0.342,0.608,0.008,-0.181,0.922,-0.237,0.023,3,CTL>,2,-0.014,0.9441
pid_synergy,-0.49,0.041,-0.124,0.764,-0.571,0.055,0.092,0.414,3,CTL>,1,-0.229,0.1618
dds_cACC_A2,0.554,0.024,0.068,0.535,0.529,0.059,-0.171,0.152,3,MDD>,1,0.21,0.2706
te_LH_frontal,0.056,0.356,0.079,0.445,-0.332,0.228,0.075,0.396,3,MDD>,0,0.015,0.8838
dds_LH_A2,-0.081,0.695,-0.265,0.491,0.024,0.688,-0.136,0.17,3,CTL>,0,-0.13,0.2111
dds_LH_alpha1,0.376,0.072,0.226,0.152,0.069,0.48,-0.164,0.072,3,MDD>,0,0.091,0.4862
dds_RH_alpha1,0.297,0.136,0.082,0.598,0.252,0.386,-0.16,0.134,3,MDD>,0,0.058,0.6139
dds_RH_alpha2,0.068,0.695,0.417,0.132,0.295,0.257,-0.083,0.096,3,MDD>,0,0.126,0.2967
dds_RH_phi2,0.364,0.078,0.311,0.094,0.2,0.458,-0.118,0.294,3,MDD>,0,0.145,0.2553
dds_RH_r2,0.125,0.662,0.143,0.378,0.002,0.503,-0.229,0.443,3,MDD>,0,-0.043,0.6761
dds_cACC_alpha2,0.247,0.278,0.253,0.236,0.205,0.095,-0.091,0.297,3,MDD>,0,0.094,0.3625
dds_cACC_phi2,0.365,0.102,0.154,0.43,0.145,0.177,-0.153,0.148,3,MDD>,0,0.082,0.5008
dds_frontal_A1,-0.259,0.756,-0.211,0.297,0.118,0.201,-0.181,0.249,3,CTL>,0,-0.162,0.1193
dds_frontal_A2,-0.243,0.675,-0.185,0.406,0.105,0.183,-0.155,0.267,3,CTL>,0,-0.143,0.1675
dds_frontal_alpha1,0.155,0.187,0.157,0.369,0.182,0.313,-0.256,0.423,3,MDD>,0,0.005,0.9705
dds_frontal_alpha2,0.137,0.695,0.116,0.823,0.015,0.406,-0.173,0.743,3,MDD>,0,-0.02,0.8448
dds_frontal_r2,-0.195,0.514,-0.023,0.856,0.096,0.538,-0.267,0.587,3,CTL>,0,-0.148,0.1531
dds_RH_A2,0.541,0.037,-0.311,0.364,0.323,0.339,-0.022,0.417,2,MDD>,1,0.113,0.5293
dds_frontal_phi2,0.078,0.777,0.554,0.014,-0.045,0.936,-0.19,0.451,2,MDD>,1,0.085,0.6183
te_RH_frontal,0.303,0.262,-0.162,0.445,-0.085,0.809,0.03,0.695,2,MDD>,0,0.028,0.784
te_cACC_frontal,0.186,0.996,-0.073,0.181,-0.16,0.623,0.164,0.13,2,MDD>,0,0.072,0.4866
dds_LH_alpha2,-0.137,0.474,0.037,0.816,-0.021,0.636,0.006,0.467,2,MDD>,0,-0.021,0.8417
dds_LH_phi2,0.268,0.216,0.276,0.219,-0.065,0.782,-0.044,0.522,2,MDD>,0,0.086,0.4074
dds_RH_A1,0.273,0.463,-0.302,0.615,0.133,0.48,-0.107,0.297,2,MDD>,0,-0.028,0.8134
dds_cACC_A1,0.468,0.278,-0.067,0.997,0.17,0.136,-0.258,0.095,2,MDD>,0,0.049,0.7731
dds_cACC_alpha1,0.369,0.127,-0.332,0.236,0.225,0.242,-0.163,0.092,2,MDD>,0,-0.002,0.989
dds_cACC_r2,-0.067,0.722,0.068,0.688,0.006,0.48,-0.308,0.093,2,MDD>,0,-0.132,0.2011
