feature,importance_delta_auc
C3_gamma_abs,0.0012422360248447117
T8_beta_abs,0.0004140786749482261
C4_delta_abs,0.0003795721187025425
CP4_gamma_abs,0.00034506556245685884
F3_theta_beta_ratio,0.0003450655624568366
F7_theta_alpha_ratio,0.0003450655624568366
CP4_hjorth_com,0.0003450655624568366
F8_theta_alpha_ratio,0.0003450655624568366
P7_hjorth_com,0.0003450655624568366
FC3_theta_alpha_ratio,0.000310559006211153
P8_spec_ent,0.000310559006211153
F7_perm_ent,0.000310559006211153
O1_alpha_rel,0.000310559006211153
F7_samp_ent,0.000310559006211153
T7_dfa,0.000310559006211153
C3_samp_ent,0.000310559006211153
P7_dfa,0.000310559006211153
P3_beta_abs,0.000310559006211153
P3_theta_alpha_ratio,0.000310559006211153
O1_theta_rel,0.000310559006211153
P4_hjorth_com,0.000310559006211153
O1_theta_alpha_ratio,0.000310559006211153
P7_beta_rel,0.000310559006211153
O2_theta_alpha_ratio,0.000310559006211153
C3_theta_alpha_ratio,0.000310559006211153
