feature,CTL_mean,MDD_mean,cohens_d,p_value
dds_LH_f2,10.7051,12.4862,0.858,0.001
dds_LH_f1,8.8606,10.04,0.672,0.0076
dds_frontal_f2,10.0616,11.3981,0.669,0.009
pid_unique_RH,0.0085,0.0033,-0.594,0.0026
pid_total_mi,0.0544,0.0398,-0.553,0.0119
dds_cACC_f2,10.245,11.1833,0.448,0.06
pid_redundancy,0.0224,0.0163,-0.41,0.0566
dds_frontal_f1,7.9833,8.6946,0.377,0.1297
dds_RH_alpha_mean,13.8961,14.7293,0.369,0.109
ais_RH,0.579,0.6492,0.331,0.1171
dds_cACC_f1,8.48,9.0676,0.28,0.2379
ais_cACC,0.6659,0.7339,0.273,0.2072
pid_unique_LH,0.0069,0.005,-0.217,0.2985
dds_RH_f2,11.3604,11.7714,0.188,0.3943
te_RH_frontal,0.0085,0.0073,-0.181,0.3681
dds_frontal_alpha_mean,14.4053,14.8462,0.169,0.4609
dds_cACC_A_ratio,0.4635,0.4443,-0.169,0.4631
ais_LH,0.57,0.61,0.162,0.4696
ais_frontal,0.5656,0.5995,0.147,0.4993
dds_frontal_A_ratio,0.4543,0.4709,0.146,0.5009
dds_RH_A_ratio,0.4671,0.4513,-0.144,0.5292
dds_LH_alpha_mean,13.8978,14.2375,0.141,0.5187
dds_LH_A_ratio,0.4666,0.4815,0.14,0.5475
pid_synergy,0.0165,0.0152,-0.132,0.5382
te_cACC_frontal,0.0084,0.0078,-0.084,0.6612
te_LH_frontal,0.0077,0.0083,0.084,0.6959
te_frontal_cACC,0.0093,0.0087,-0.082,0.6948
dds_RH_f1,9.2892,9.2543,-0.016,0.9433
dds_cACC_alpha_mean,14.3341,14.3418,0.003,0.9878
